rank,title,artist,genre,price,release_date,link
1,"Aaja Raja (From ""KH x RK Reunion"")",Anirudh Ravichander & Chintu,Tamil,₹ 15,21 Feb 2026,https://music.apple.com/in/album/aaja-raja-from-kh-x-rk-reunion/1878964512?i=1878964516&uo=2
2,"Humsafar (From ""Saiyaara"")","Sachet-Parampara, Sachet Tandon, Parampara Tandon, Irshad Kamil & Prashant Pandey",Bollywood,₹ 11,24 Jun 2025,https://music.apple.com/in/album/humsafar-from-saiyaara/1822015143?i=1822015144&uo=2
3,Insecurities,Vishnu Vijay,Soundtrack,₹ 15,05 Apr 2024,https://music.apple.com/in/album/insecurities/1739809220?i=1739809240&uo=2
4,The Child In Us,Enigma,Pop,₹ 18,01 Jan 1996,https://music.apple.com/in/album/the-child-in-us/723360539?i=723360884&uo=2
5,FA9LA,Flipperachi,Rap,₹ 15,30 May 2024,https://music.apple.com/in/album/fa9la/1748059879?i=1748059885&uo=2
6,Dreamcatcher,Bahramji & Maneesh De Moor,Electronic,₹ 15,07 Dec 2004,https://music.apple.com/in/album/dreamcatcher/41535486?i=41535480&uo=2
7,"23 Theme (From ""AA23"")","Anirudh Ravichander, Hector Salamanca & Heisenberg",Telugu,₹ 15,14 Jan 2026,https://music.apple.com/in/album/23-theme-from-aa23/1869032080?i=1869032083&uo=2
8,Muthuvel Pandian,Yadhu Krishnan,Tamil,₹ 18,13 Nov 2023,https://music.apple.com/in/album/muthuvel-pandian/1716955254?i=1716955269&uo=2
9,Pal Pal Dil Ke Paas,Sanam,Pop,₹ 15,26 Jun 2025,https://music.apple.com/in/album/pal-pal-dil-ke-paas/1820402915?i=1820402918&uo=2
10,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil & Armaan Khan",Bollywood,₹ 18,27 Nov 2025,https://music.apple.com/in/album/gehra-hua-from-dhurandhar/1856547752?i=1856547753&uo=2
11,Callin' U (Tamally Maak),Elyanna,Worldwide,₹ 18,12 Apr 2024,https://music.apple.com/in/album/callin-u-tamally-maak/1736841064?i=1736841203&uo=2
12,Shiva Theme,"Dasari Meghana Naidu, Sai Deva Harsha, Sudarshanam & Stephen Devassy",Telugu,₹ 18,27 Jun 2025,https://music.apple.com/in/album/shiva-theme/1823268107?i=1823268309&uo=2
13,Muthuvel Pandian Theme (Instrumental),Anirudh Ravichander,Tamil,₹ 15,28 Jul 2023,https://music.apple.com/in/album/muthuvel-pandian-theme-instrumental/1699735063?i=1699735324&uo=2
14,Succession (Main Title Theme),Nicholas Britell,Soundtrack,₹ 18,20 Jul 2018,https://music.apple.com/in/album/succession-main-title-theme/1500926125?i=1500926127&uo=2
15,"Roar Of Narsimha (Kannada) [From ""Mahavatar Narsimha""]","Sam C.S., Aniruddha Sastry & The Shloka",Indian,₹ 11,25 Jun 2025,https://music.apple.com/in/album/roar-of-narsimha-kannada-from-mahavatar-narsimha/1822511756?i=1822511758&uo=2
16,Papaoutai (Afro Soul),"mikeeysmind, Chill77 & Unjaps",Pop,₹ 18,19 Dec 2025,https://music.apple.com/in/album/papaoutai-afro-soul/1876617487?i=1876617505&uo=2
17,F1,Hans Zimmer,Soundtrack,₹ 18,26 Jun 2025,https://music.apple.com/in/album/f1/1824045070?i=1824045071&uo=2
18,At Peace,Karan Aujla & Ikky,Hip-Hop/Rap,₹ 18,17 Jun 2025,https://music.apple.com/in/album/at-peace/1819981705?i=1819981707&uo=2
19,"Muthuvel Pandian Theme (From ""Jailer"")",Anirudh Ravichander,Tamil,₹ 15,12 Dec 2022,https://music.apple.com/in/album/muthuvel-pandian-theme-from-jailer/1659849765?i=1659850370&uo=2
20,Just a Boy,DrINsaNE,Pop,₹ 15,27 Nov 2025,https://music.apple.com/in/album/just-a-boy/1873899584?i=1873899585&uo=2
21,FRI(END)S,V,K-Pop,₹ 18,15 Mar 2024,https://music.apple.com/in/album/fri-end-s/1736059579?i=1736059580&uo=2
22,Meri Zindagi Hai Tu,Asim Azhar & Sabri Sisters,Worldwide,₹ 15,11 Nov 2025,https://music.apple.com/in/album/meri-zindagi-hai-tu/1852517386?i=1852517390&uo=2
